notion_id,recipe_name,step_number,body_text
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,1,"In a pressure cooker or instant pot, cook whole Garam Masala in ghee till fragrant."
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,2,"Toss in onions till clear, then add in rest of vegetables + ginger garlic paste. Cook till well combined and toasty."
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,3,"Toss in rice and 3 cups of liquid, however much can of coconut milk is and the rest as water."
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,4,"Add in relevant spices: salt, pepper, karam, biriyani masala, garam masala"
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,5,"Taste, liquid should be slightly salty and spicy."
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,6,"Add in cilantro, start the pressure cooker and cook for 10 minutes."
25a03a80-9ca1-8011-bdbd-cd44eaabd55d,Coconut Pulao,7,"Let pressure release slowly, then ready to serve."
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,1,Boil jumbo shells using box instructions and set aside to cool.
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,2,Preheat Oven to 400*F
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,3,"In a saucepan, add olive oil and onion with a little salt, sauté till softened"
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,4,"Add in the meat, break into small pieces and cook till caramelized and brown. Then mix in chopped spinach. Let cool."
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,5,"Into meat, mix: Ricotta, Mozzarella, seasonings, and the egg. Add in the caramelized meat and spinach and mix with the cheese."
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,6,"In a large oven safe pan, layer half the marinara sauce on the bottom."
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,7,Fill shells with the cheese/meat filling and layer on top of the sauce.
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,8,Pour the remaining sauce over the shells and top with the remaining mozzarella.
25a03a80-9ca1-801a-a3f2-de214fd1bee9,Stuffed Shells,9,"Bake for 15/20 minutes, let cool for 5 before serving."
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,1,Stir together sauce till fully combined and sugar is dissolved.
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,2,"Heat half the oil in a wok, once very hot, pour in beaten egg. Scramble till 90% done then remove from wok."
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,3,"Add remaining oil to wok, saute the ginger garlic paste with some chilli flakes for a few seconds before pouring in the sauce and the water. Bring to a simmer."
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,4,"Add in ramen block, let cook for 4 minutes, stirring."
25a03a80-9ca1-802b-8b4c-de161b241148,Pad Thai,5,"Fold in scrambled eggs, peanuts and scallions."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,1,"In a pan, brown the butter, stirring constantly. As soon as it starts foaming, remove from heat and add in coffee powder to allow to bloom. Cool for at least 10 minutes."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,2,"In a separate bowl, whisk flour, corn starch, baking soda, baking powder, and salt."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,3,"Into the browned butter, whisk in sugars and vanilla till glossy. Then add in the egg and the extra yolk, whisking till emulsified."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,4,Then add in the dry ingredients and gently fold till barely combined. Then fold in chopped chocolate chunks till you don’t see anymore flour streaks.
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,5,"Make 75g dough balls, shape into balls and place on a parchment lined baking sheet."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,6,"Let cookie dough chill covered in the in the fridge for 12 - 24 hours, this results in deeper caramelization."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,7,Preheat oven to 340 °F. Line two trays with parchment. Place dough balls at least 2 inches apart.
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,8,"Bake in preheated oven for 18–20 min, until edges are set but centers look soft and puffy."
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,9,Optionally shape with a round bowl and sprinkle flakey sea salt on top!
25a03a80-9ca1-802f-8ed5-c90901169f3d,Chocolate Chip Cookies,10,"Let them cool on the tray for 10-15 minutes so they can set up, but then you can enjoy!"
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,1,"Wash all veggies, then chop: lettuce, radish, cucumber, bell pepper, tomatoes, herbs, and anything else."
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,2,"In a large salad bowl, toss together all the chopped veggies and herbs. Throw in the drained chickpeas, then add salt, pepper, and za’atar. Add a generous drizzle of dressing (about ¼ cup) to taste and toss the salad thoroughly so everything is mixed really well."
25a03a80-9ca1-8038-bc3f-ca69e7898c80,Fattoush,3,"Throw in crushed pita chips and mix at the end, or eat the chopped salad as a dip!"
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,1,Defrost 2 filets of frozen code by placing them in room temperature water or thawing overnight.
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,2,"Prep all aromatics: peel and slice garlic, slice an onion, some chilies and green onion (greens separated)"
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,3,"Pour 1 tbsp of oil into a pan along with all the aromatics and salt, sauté on medium-low till fragrant and the onion is translucent."
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,4,"Pour in the coconut milk, add in the tbsp of bouillon then stir till fully combined."
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,5,Either toss in saffron tea at this point or a handful of chopped dill and fish sauce.
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,6,"Now salt and pepper (and any other herb-y seasonings) at this point, turmeric, chilli flakes, taste till satisfied. Going overboard here is good. Once well seasoned, toss in the now thawed cod filets. Spoon some poaching liquid on top of the filets that might not be covered."
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,7,"Bring liquid down to a simmer (very low), cover partially with a lid, then let cook for 10-25 minutes. Longer will just make it fall apart even more."
25a03a80-9ca1-8068-b95b-d53c8c2c2c6c,Poached Cod,8,Serve on top of rice or remove the fish filets and toss orzo in to make an orzo soup!
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,1,Cook the noodles according to package directions. Drain and set aside.
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,2,Make sauce by combining all sauce ingredients.
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,3,"To the pot used to cook the noodles, add in chicken broth and 1/2 of the sauce mixture. Bring to a simmer over medium heat, stir in the spinach. Keep warm."
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,4,"To a skillet, add in the ground meat along with half the sauce. Cook till and brown all over, breaking it up as it cooks, for 5 minutes."
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,5,"Deglaze with and a splash of Shaoxing Wine then add in minced mushrooms and shallot, and cook another 2-3 minutes. Slowly pour in the other half of the soy sauce mixture."
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,6,"Bring the mixture to a simmer and cook until the sauce coats the meat and the meat begins to caramelize and get crispy, about 5 minutes before stirring in another 2-4 tablespoons chili oil."
25a03a80-9ca1-8080-984a-e17a81c31a9d,Dan Dan Noodles,7,"Split the noodles into two bowls, pour over the warm broth, stir to combine. Spoon the meat over the noodles. Top with green onions and additional chili oil."
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,1,"Wash strawberries by placing them in a bowl of one cup water, one cup white vinegar. Let sit for 10 minutes before rinsing thoroughly."
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,2,Dry each strawberry thoroughly before letting air dry completely.
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,3,Melt chocolate in a double boiler by placing each chocolate with some coconut oil in a heat-proof bowl and setting it over a small pot with an inch or two of simmering water.
25a03a80-9ca1-8089-ae27-d622ccac063e,Chocolate Covered Strawberries,4,Dip each strawberry in chocolate. Then place each strawberry on parchment paper to set.
